Colname	BioRep	TechRep	Type	Specific
B1_T1_Control_+	B1	T1	Control	+
B1_T2_Control_+	B1	T2	Control	+
B1_T1_Control_-	B1	T1	Control	-
B1_T2_Control_-	B1	T2	Control	-
B2_T1_Control_+	B2	T1	Control	+
B2_T2_Control_+	B2	T2	Control	+
B2_T1_Control_-	B2	T1	Control	-
B2_T2_Control_-	B2	T2	Control	-
B1_T1_Exudate_+/+	B1	T1	Exudate	+/+
B1_T2_Exudate_+/+	B1	T2	Exudate	+/+
B1_T1_Exudate_-/-	B1	T1	Exudate	-/-
B1_T2_Exudate_-/-	B1	T2	Exudate	-/-
B1_T1_Exudate_+/-	B1	T1	Exudate	+/-
B1_T2_Exudate_+/-	B1	T2	Exudate	+/-
B1_T1_Exudate_-/+	B1	T1	Exudate	-/+
B1_T2_Exudate_-/+	B1	T2	Exudate	-/+
B2_T1_Exudate_+/+	B2	T1	Exudate	+/+
B2_T2_Exudate_+/+	B2	T2	Exudate	+/+
B2_T1_Exudate_-/-	B2	T1	Exudate	-/-
B2_T2_Exudate_-/-	B2	T2	Exudate	-/-
B2_T1_Exudate_+/-	B2	T1	Exudate	+/-
B2_T2_Exudate_+/-	B2	T2	Exudate	+/-
B2_T1_Exudate_-/+	B2	T1	Exudate	-/+
B2_T2_Exudate_-/+	B2	T2	Exudate	-/+
