BinBase name,GC1,GC2,GC3,GC4,GC13,GC14,GC15,GC16,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24
xylulose NIST,50,40,47,258,49,52,89,66,662,1492,975,503,674,723,318,305,271,448,69,1187,450,486,402,530
xylose,190,100,288,281,121,155,221,146,4426,6836,3469,2487,2054,1986,2342,2500,1537,1661,2606,2874,1276,1582,1688,1728
urea,697,492,925,1023,398,1086,723,783,194,570,553,304,5626,3421,5460,3959,1051,960,378,610,5140,5111,5580,4922
threonic acid,77,56,109,89,41,73,60,111,1840,3700,1828,1507,2243,2062,733,923,644,643,1860,2038,1124,914,1596,1527
threitol,85,80,153,107,113,115,57,79,628,859,411,341,382,326,271,261,338,366,456,477,304,273,340,291
tagatose,51,50,106,72,48,46,72,74,132,359,722,588,578,469,61,102,68,107,901,1550,167,126,65,111
sucrose,75,92,135,75,85,131,110,56,1324,1889,1469,1339,1592,2109,4866,4557,2593,2485,1053,1263,5675,6198,1208,1161
succinic acid,142,103,174,218,116,133,164,111,285,474,337,251,252,225,125,150,160,174,287,202,179,248,262,206
stearic acid,84518,50416,104188,100460,62246,84119,92513,66186,85385,72343,67841,68331,85222,71395,80364,82207,107974,98447,67962,65407,107998,96152,74010,79905
sorbitol,3132,6704,35968,32981,5121,6900,26631,24598,32432,33303,24418,25216,30327,26907,22124,18896,11086,12291,27744,28665,36323,32089,32620,29220
shikimic acid,95,75,171,109,161,193,175,55,572,843,687,571,452,426,641,476,743,782,733,646,543,702,645,657
sebacic acid,1788,1512,2826,3057,1643,1896,2177,1801,2040,1981,1696,2092,2131,2095,2199,1919,2584,2476,1864,1684,2805,2824,2224,2063
ribose,47,48,96,87,48,75,85,87,15794,22653,9901,7384,10089,10065,5134,4855,8424,9094,10598,11558,9219,10280,7540,7630
ribonic acid,96,62,65,115,69,78,64,62,202,488,333,295,201,287,162,103,128,62,412,468,165,229,230,227
ribitol,37,31,75,166,39,81,116,63,995,1228,765,630,559,486,447,519,553,455,984,1170,345,446,629,547
propane-1,1282,833,1765,1902,1053,1103,1425,1146,1163,965,925,1046,1121,1357,1352,1279,1499,1665,1026,663,1719,1864,1200,1229
phosphate,722,1072,110,104,128,896,133,91,1095,102,70,83,140,89,128,161,562,989,109,78,151,138,244,142
pentitol,51,62,91,106,55,84,37,29,161,224,83,58,87,97,75,79,47,155,22,78,188,86,109,84
pelargonic acid,13496,6555,7362,13342,6257,9929,5887,7711,15300,4995,10024,7707,10617,6944,7657,7400,9395,8922,7092,6292,20823,11221,9155,7950
palmitic acid,11509,8288,17840,16451,8810,12240,13395,10218,14488,13124,10697,11848,15038,12417,13807,14344,16082,16228,11259,11451,17519,16450,12655,12958
oxoproline,81,88,113,92,159,88,153,82,408,334,206,306,426,455,444,354,247,263,217,213,257,263,460,313
oleic acid,84,103,28,114,136,95,194,483,167,196,176,143,139,120,148,67,171,216,120,122,123,113,162,81
octadecanol,128,2560,254,269,113,161,197,138,120,176,183,198,358,150,299,208,290,227,271,127,220,272,179,209
N-acetyl-D-hexosamine,794,143,172,207,447,1461,127,97,1008,1102,201,248,105,332,72,390,363,502,485,374,314,394,155,520
myristic acid,6509,4827,9147,9646,3868,6729,6122,5592,11290,5222,5239,5125,6877,5489,5831,6497,7381,7681,5838,4403,14445,7370,5405,5502
myo-inositol,318095,408503,206941,172498,401367,317805,304611,356942,303367,108616,354365,410666,330206,345535,328175,382089,460464,421980,453766,313743,390273,410207,346797,339007
methyltetrahydrophenanthrenone NIST,1448,2085,4607,4270,1141,2035,2042,1366,3382,2250,1191,3206,2275,2440,3505,2675,2188,2314,1720,1574,4039,2160,2097,1796
maltotriose,90,51,91,149,39,40,132,47,147,146,94,105,87,96,104,89,133,87,126,38,105,145,145,110
maltose,170,91,213,169,136,137,135,159,4483,6679,4124,3043,1879,2156,2176,2288,1542,1653,4633,5267,1388,3605,2785,2542
maltitol,67,60,91,115,81,49,78,74,136,271,122,138,138,115,95,33,90,84,117,70,104,186,166,159
malic acid,66,59,113,82,64,64,55,62,218,396,194,165,232,96,180,119,98,66,371,322,166,92,331,202
levoglucosan,58,65,101,78,82,119,72,67,343,430,198,191,196,236,207,204,299,169,199,160,357,181,170,226
lauric acid,9383,4937,6063,11184,3001,9657,3103,8323,9461,4380,7161,3935,6708,4669,3411,4296,4755,6517,4778,3658,25300,4341,3892,3429
lactose,134,109,162,243,95,160,166,179,1846,2557,1235,820,571,930,559,668,637,723,1160,1278,626,587,755,804
lactitol,81,99,65,87,48,73,84,51,146,259,29,90,111,52,138,57,148,51,123,125,119,134,87,86
lactic acid,299,471,899,751,433,621,453,704,624,637,577,581,817,688,638,620,847,880,463,488,895,962,590,662
hydroxylamine,182095,127482,251295,280982,146737,169447,197696,172140,169351,140992,137523,161260,173442,183992,182310,176704,205271,230422,144586,114151,256750,253884,170589,178726
hydroxycarbamate NIST,467,286,632,704,307,610,528,493,479,471,395,423,498,496,377,414,440,496,390,493,587,622,599,394
heptadecanoic acid,1248,828,1700,1627,853,1298,1252,1041,1677,1602,1254,1326,1412,1331,1332,1558,1512,1611,1328,1196,1711,1443,1115,1266
glycyl proline,72,59,321,255,66,89,204,178,818,983,551,486,487,425,452,398,541,636,600,697,562,607,599,548
glycolic acid,1453,973,935,1306,579,1181,1274,1420,2737,2967,2289,1505,2962,1648,1414,1695,1353,2543,1715,2616,3780,2668,1506,2142
glycine,131,93,63,193,68,92,144,56,71,89,62,71,36,74,90,70,53,79,100,14,136,86,98,61
glycerol-3-galactoside,84,83,206,272,30,127,212,168,18494,21806,17672,14377,11119,11148,13044,12885,13120,13188,21640,22804,10537,11084,18961,18205
glycerol,25424,35774,1935,2277,22269,32809,1013,1690,6049,6902,4669,3322,15581,15971,12890,14270,6192,5975,3659,3805,9850,10456,12765,12938
glyceric acid,94,85,107,255,47,81,132,82,1250,2666,2600,2035,1856,1788,1085,1114,422,320,3660,3832,1023,959,2550,2525
glucose,359,306,1149,1129,210,434,736,644,247407,340895,154671,105066,81595,84939,104596,113514,42507,45117,82204,97151,34662,40614,51429,50004
gluconic acid,61,83,294,227,73,102,141,137,338,413,260,183,189,179,139,149,82,113,353,376,115,202,194,141
glucoheptulose,107,97,119,205,80,71,133,83,321,248,618,224,183,195,243,299,267,303,815,119,165,178,856,654
galactonic acid,51,51,210,142,51,80,132,120,359,497,277,290,209,172,176,203,127,160,393,450,264,233,265,236
galactinol,339,285,528,504,271,359,576,520,16376,20321,25890,22177,10376,10551,20894,18324,14514,12272,29854,31441,10300,10918,26911,24878
fumaric acid,104,72,85,124,67,90,59,94,2941,3859,3115,2296,1645,1569,2452,2171,335,497,2900,3072,739,549,2637,2558
fucose,220,229,263,362,207,262,308,288,4586,6711,3020,2199,2407,2445,1652,1705,1913,1890,3737,4200,1607,1537,2323,2276
fructose,374,1702,2153,1047,143,1184,125,391,585463,706385,723197,715808,766074,768046,765121,712514,670378,684115,669230,821102,611115,639224,780888,786929
erythrose,52,39,96,118,54,67,66,62,1425,1779,702,593,592,505,442,529,460,548,826,777,429,516,585,633
erythritol,27,51,88,75,95,68,85,31,2534,3141,1251,881,1387,1404,773,730,1133,1278,1353,1479,803,918,824,849
dodecanol,148,101,190,211,111,184,210,144,161,185,144,140,80,179,224,170,208,160,147,174,226,244,182,154
dodecanoic acid,71,91,344,378,133,175,250,177,104,85,134,158,177,257,277,183,223,156,104,143,224,106,245,104
dihydroxyacetone,281,45,424,543,198,355,368,287,456,1661,1374,595,1049,875,661,615,425,479,1055,1273,628,844,851,738
deoxypentitol,90,47,115,86,47,50,58,102,1047,1463,694,579,450,518,293,483,387,348,839,660,334,339,532,508
citric acid,76,59,75,112,71,68,61,52,1143,4260,2982,3029,2236,2566,891,670,185,341,6503,3622,558,762,1738,812
